,mean_mfcc_0,mean_mfcc_1,mean_mfcc_2,mean_mfcc_3,mean_mfcc_4,mean_mfcc_5,mean_mfcc_6,mean_mfcc_7,mean_mfcc_8,mean_mfcc_9,mean_mfcc_10,mean_mfcc_11,mean_mfcc_12,std_mfcc_0,std_mfcc_1,std_mfcc_2,std_mfcc_3,std_mfcc_4,std_mfcc_5,std_mfcc_6,std_mfcc_7,std_mfcc_8,std_mfcc_9,std_mfcc_10,std_mfcc_11,std_mfcc_12,std_mfccs_delta_0,std_mfccs_delta_1,std_mfccs_delta_2,std_mfccs_delta_3,std_mfccs_delta_4,std_mfccs_delta_5,std_mfccs_delta_6,std_mfccs_delta_7,std_mfccs_delta_8,std_mfccs_delta_9,std_mfccs_delta_10,std_mfccs_delta_11,std_mfccs_delta_12,std_mfccs_delta2_0,std_mfccs_delta2_1,std_mfccs_delta2_2,std_mfccs_delta2_3,std_mfccs_delta2_4,std_mfccs_delta2_5,std_mfccs_delta2_6,std_mfccs_delta2_7,std_mfccs_delta2_8,std_mfccs_delta2_9,std_mfccs_delta2_10,std_mfccs_delta2_11,std_mfccs_delta2_12
103_1241_000000_000001.wav,-352.84897,68.104904,-23.118355,33.80247,8.516281,6.331519,-20.518074,1.1052647,1.372162,8.970154,-9.584966,6.7450385,-4.742061,77.97036,70.60358,45.93194,29.632744,16.233923,17.102129,16.561762,17.229715,14.387582,14.334085,10.01173,10.46757,9.066557,18.461958,15.543271,11.302044,5.8729873,3.9096358,3.2096922,3.7868483,3.64537,2.7662766,2.5210161,2.0833614,2.3576996,1.6307484,10.417609,7.443263,5.6331463,3.606441,2.534417,2.0602236,2.2021618,2.5617166,1.9861904,1.6909713,0.8723289,1.3938136,1.371911
103_1241_000004_000002.wav,-372.01587,71.204506,-14.714552,42.387665,6.864225,1.2057965,-9.962073,-6.902208,-4.2316017,6.4997883,-2.473413,3.6338851,3.2345145,109.37467,53.473774,45.084183,26.919508,18.78153,21.606607,19.04448,18.59666,16.11538,13.859264,10.175967,9.873963,8.470436,19.446415,10.503726,8.499026,5.6924157,3.7406156,4.1050105,3.4760084,3.507849,3.0155392,3.1137238,1.8471482,1.8199881,1.4831468,10.150615,6.3860807,4.679118,3.522796,2.3331108,2.8758419,1.9924613,2.8483796,1.7997725,2.0260155,1.0689926,1.045524,0.9680358
103_1241_000007_000001.wav,-330.9922,97.96223,-23.073885,14.789919,-13.821225,10.738021,-5.1762934,-16.242718,-2.616012,3.2862623,6.956387,8.177374,1.4249523,110.79786,38.838326,38.462856,27.964296,27.580574,12.807204,20.33939,18.293879,12.188526,10.716384,12.633408,10.808621,10.192921,21.635244,7.463025,7.882203,5.9184747,6.4894986,2.966052,3.6607862,3.537357,2.2358406,2.2071512,2.2031162,1.9071391,1.8695929,11.118591,5.6432276,5.0158224,3.0619147,3.4916878,1.791796,2.5469623,2.269684,1.2988734,1.3081722,1.457565,1.2555952,1.2175996
1034_121119_000001_000001.wav,-273.50006,196.73097,-0.345069,10.2235565,-26.922853,-26.153625,5.593558,23.906216,-2.9762223,4.0115023,2.43015,-4.6903253,4.824605,63.122135,37.068913,18.69701,15.838395,20.581429,26.381063,7.3305345,10.069316,12.588485,8.085079,4.8776655,8.409966,6.236589,10.51678,7.0614257,3.626601,3.3772569,4.5835776,5.4219933,1.106128,2.0849876,0.86995244,1.0201898,0.8095239,1.8821706,1.1184856,7.413459,4.1247473,3.642222,2.5266614,1.3525418,1.6760373,1.0851281,0.7850128,0.6751078,0.8300021,0.7198346,0.9787159,1.2551247
1034_121119_000002_000001.wav,-272.6509,156.03987,-21.959785,28.342913,9.680811,-0.6400409,-4.9222045,-1.43495,-2.8306901,8.637179,-6.1660995,-3.3988655,8.619044,81.4487,55.262688,29.272364,28.16672,21.949293,21.368929,12.317217,13.408851,11.0873575,12.300085,9.230733,8.973105,7.6786494,13.064955,11.319384,5.77147,5.452276,4.3447433,4.6255198,2.2990663,2.6028416,2.1269653,2.136156,1.4753011,1.7265357,1.427528,8.305161,6.760854,3.7981248,2.923307,2.6730878,2.5415509,1.3578761,1.6363764,1.4712181,1.2129219,0.9259703,1.1606029,0.9117496
1034_121119_000010_000004.wav,-274.11414,149.39986,-21.28981,20.758617,8.690641,-2.8142426,-5.012212,-3.7721763,-4.5861063,9.75864,-2.1619308,-5.549264,5.481113,68.46252,54.95304,29.632736,30.491446,24.423368,17.534868,14.916746,15.313941,10.423191,10.9564085,10.053904,8.873678,6.332044,11.984464,11.339602,5.413054,5.406563,4.2331896,3.8563194,2.4094837,3.1604602,2.224393,2.1022747,1.9086273,1.7189753,1.2588006,8.018303,7.135203,3.5616481,3.3063061,2.3071387,2.524695,1.7633963,1.8385104,1.4625366,1.1737366,1.1239477,1.1444927,0.83962125
1040_133433_000001_000002.wav,-331.49213,114.71172,-19.927462,20.77749,8.324246,-7.9376764,-25.409105,-29.444508,-21.603645,-2.5092947,-5.883094,0.9100864,0.5113557,95.00278,50.99305,28.84456,22.808187,21.423521,17.987522,15.125522,16.756315,14.600697,8.687661,12.538993,9.026583,7.720302,15.729003,10.522352,5.9443417,4.47759,3.557943,3.8296843,2.8349557,2.954828,2.3283844,1.6084559,2.3360837,1.8558829,1.4932677,9.290477,5.5976214,3.49652,2.6656356,2.1454368,2.044878,1.6854835,1.5678903,1.2406334,0.9800946,1.1100899,1.1743425,0.94422996
1040_133433_000004_000001.wav,-289.29453,102.92237,-3.5579765,25.073992,-1.0957004,-23.459764,-22.28019,-28.228516,-20.954655,-5.803726,-21.508451,2.3599784,-0.9547146,94.74483,60.15755,25.723417,22.857506,28.113436,23.575903,15.9631815,14.944778,16.220423,8.591762,12.776173,10.361653,9.86572,19.043545,10.144836,5.700128,5.2737083,5.431688,4.1502533,3.4915116,2.7661006,2.9454792,2.068747,2.5494323,1.5604883,1.4641371,6.2574544,5.7519,3.2492461,2.6672833,2.431852,2.0600147,1.8182884,1.4433872,1.5035294,1.2647927,1.2767979,0.96427596,1.0933193
1040_133433_000007_000000.wav,-292.8582,107.68887,-17.920393,15.052927,-12.16459,-4.5180864,-19.697493,-26.434927,-15.727448,-3.7773516,-11.951629,6.556118,-5.8233933,86.45701,63.172306,34.66269,28.816465,25.397242,19.54126,14.743599,15.84848,11.7812195,8.926972,10.350088,7.350447,8.756021,14.776224,15.143708,6.0909543,6.0467553,3.5919435,4.496299,2.7507057,2.4371834,2.7055244,2.0874162,2.1503894,1.4156178,1.9853767,8.175827,8.103575,4.078438,2.8950517,2.3570528,2.26518,1.9582331,1.714816,1.7952873,1.1947492,1.3364044,1.0752542,1.1179506
1069_133699_000001_000000.wav,-290.43546,121.59305,16.922235,9.486199,-26.667707,11.969769,2.7291393,-13.460065,12.528603,4.386226,-18.444286,-4.6058564,-4.1780443,140.63332,61.567337,40.071033,24.799072,29.84099,10.4050865,16.320515,23.62692,11.359827,11.104786,11.670937,8.446902,8.237254,23.973629,12.128205,7.0364876,4.140046,4.9751534,2.2782757,3.7823477,4.113225,2.3482912,2.220847,2.2515576,1.634909,1.6948754,12.861174,8.864434,4.673742,3.3427923,2.7809405,1.1746222,1.8141005,2.5585928,1.7235484,1.5864741,1.5568589,1.1999408,0.9520332
